employee_id,dept_id,role_id,band,salary_annual_inr,performance_2023,performance_2024,years_at_company,years_in_current_role,attrition,attrition_date,attrition_reason,promotion_last_2yrs,training_count_2024,training_hours_2024,job_satisfaction,work_life_balance,overtime_hours_monthly
EMP0001,D03,R07,E3,1413856,4,4,4.1,1.36,No,,,No,3,18,3,2,13
EMP0002,D01,R03,E3,1801232,4,4,6.27,2.92,No,,,No,1,6,1,1,10
EMP0003,D06,R06,E2,995217,3,2,5.66,2.27,No,,,No,5,25,4,5,9
EMP0004,D06,R17,E1,595817,2,2,8.39,3.05,No,,,No,3,18,5,5,10
EMP0005,D09,R10,E2,986766,4,4,8.87,1.46,No,,,Yes,1,8,2,3,13
EMP0006,D01,R02,E2,1034212,3,3,4.55,1.97,No,,,No,3,18,1,1,13
EMP0007,D02,R09,E1,619940,5,5,6.36,0.87,No,,,No,1,6,3,3,20
EMP0008,D02,R10,E2,643877,4,4,0.88,0.86,No,,,No,1,10,3,3,12
EMP0009,D01,R02,E2,1049380,3,4,2.92,1.92,No,,,No,4,20,3,3,7
EMP0010,D04,R14,E1,525388,5,5,3.41,2.67,No,,,No,3,24,5,5,13
EMP0011,D09,R17,E1,373510,4,4,7.71,1.61,No,,,No,3,24,2,2,15
EMP0012,D01,R03,E3,1728406,3,4,9.76,0.91,No,,,No,1,5,4,3,6
EMP0013,D05,R16,E2,739876,4,4,4.37,2.85,No,,,No,2,18,4,4,21
EMP0014,D08,R06,E2,762237,3,2,7.91,1.66,No,,,No,7,63,3,2,2
EMP0015,D09,R17,E1,450231,1,1,2.85,1.11,No,,,No,3,15,3,2,10
EMP0016,D04,R14,E1,491674,3,2,6.07,2.67,Yes,2019-07-03,Better Opportunity,No,2,14,5,5,6
EMP0017,D01,R05,M1,4080198,3,3,2.43,0.56,No,,,No,3,24,3,2,2
EMP0018,D03,R13,E3,1846343,3,2,7.01,1.02,No,,,No,2,16,3,2,6
EMP0019,D06,R17,E1,545786,1,1,0.75,0.64,No,,,No,2,14,4,4,9
EMP0020,D05,R16,E2,821014,4,4,0.71,0.61,No,,,No,1,6,3,2,13
EMP0021,D07,R18,E2,804454,3,3,7.96,1.12,No,,,No,1,9,4,3,12
EMP0022,D03,R13,E3,1468974,3,3,1.55,1.16,No,,,No,6,66,4,5,12
EMP0023,D06,R17,E1,416235,3,3,8.65,0.75,No,,,No,0,0,4,3,12
EMP0024,D06,R17,E1,469839,5,5,3.41,2.48,Yes,2024-03-21,Work Life Balance,No,2,16,5,5,6
EMP0025,D07,R18,E2,623919,3,3,7.59,1.27,No,,,No,4,40,2,3,6
EMP0026,D04,R14,E1,361572,5,5,3.4,1.05,No,,,No,2,14,3,3,15
EMP0027,D07,R18,E2,897883,4,3,3.19,3.11,No,,,No,0,0,5,5,14
EMP0028,D06,R17,E1,350572,2,2,8.29,3.62,No,,,No,3,30,3,2,5
EMP0029,D02,R09,E1,525886,2,1,6.09,3.9,No,,,No,2,14,5,5,12
EMP0030,D08,R08,E3,1446741,2,2,5.45,1.14,Yes,2021-02-10,Career Growth,No,1,5,4,4,5
EMP0031,D01,R02,E2,823097,3,3,7.65,0.58,No,,,No,1,10,2,2,6
EMP0032,D09,R09,E1,492215,3,3,1.3,0.59,No,,,No,1,8,4,3,11
