"employee_id","dept_id","role_id","band","salary_annual_inr","performance","years_at_company","attrition","attrition_date","attrition_reason","promotion","training_count","training_hours","job_satisfaction","work_life_balance","overtime_hours_monthly","working_years","attrition_check"
"EMP0026","D04","R14","E1","361572.00",5,"2 years 10 mons 27 days","No",NULL,NULL,"No",2,14,3,3,15,"2",0
"EMP0027","D07","R18","E2","897883.00",3,"2 years 8 mons 10 days","No",NULL,NULL,"No",0,0,5,5,14,"2",0
"EMP0012","D01","R03","E3","1728406.00",4,"9 years 3 mons 3 days","No",NULL,NULL,"No",1,5,4,3,6,"9",0
"EMP0028","D06","R17","E1","350572.00",2,"7 years 9 mons 15 days","No",NULL,NULL,"No",3,30,3,2,5,"7",0
"EMP0029","D02","R09","E1","525886.00",1,"5 years 7 mons 4 days","No",NULL,NULL,"No",2,14,5,5,12,"5",0
"EMP0030","D08","R08","E3","1446741.00",2,"4 years 11 mons 12 days","Yes","2021-02-10","Career Growth","No",1,5,4,4,5,"4",1
"EMP0031","D01","R02","E2","823097.00",3,"7 years 1 mon 24 days","No",NULL,NULL,"No",1,10,2,2,6,"7",0
"EMP0032","D09","R09","E1","492215.00",3,"9 mons 18 days","No",NULL,NULL,"No",1,8,4,3,11,"0",0
"EMP0033","D02","R09","E1","466221.00",5,"8 years 9 mons 26 days","No",NULL,NULL,"No",2,18,3,3,10,"8",0
"EMP0034","D01","R02","E2","959463.00",2,"6 years 1 mon 13 days","Yes","2021-07-03","Relocation","No",2,12,4,4,7,"6",1
"EMP0035","D10","R06","E2","1008293.00",4,"2 years 8 mons 11 days","No",NULL,NULL,"Yes",2,16,4,4,17,"2",0
"EMP0036","D10","R06","E2","827282.00",4,"5 years 10 mons 19 days","No",NULL,NULL,"No",1,11,3,4,14,"5",0
"EMP0037","D05","R16","E2","1015644.00",3,"11 mons 14 days","No",NULL,NULL,"No",4,24,3,4,6,"0",0
"EMP0038","D05","R16","E2","964799.00",4,"8 years 1 mon 23 days","Yes","2021-11-10","Compensation","No",1,7,3,2,15,"8",1
"EMP0039","D05","R07","E3","1586194.00",3,"8 years 9 mons 10 days","No",NULL,NULL,"No",2,18,4,4,13,"8",0
"EMP0040","D01","R03","E3","1281257.00",4,"3 years 9 mons 24 days","No",NULL,NULL,"Yes",1,7,3,2,15,"3",0
"EMP0041","D05","R06","E2","770408.00",5,"4 years 11 mons 25 days","Yes","2022-03-24","Work Life Balance","No",1,9,2,2,11,"4",1
"EMP0042","D06","R17","E1","456424.00",5,"3 years 15 days","No",NULL,NULL,"No",1,9,4,5,13,"3",0
"EMP0014","D08","R06","E2","762237.00",2,"7 years 5 mons","No",NULL,NULL,"No",7,63,3,2,2,"7",0
"EMP0043","D07","R02","E2","1054429.00",5,"8 years 4 mons 13 days","No",NULL,NULL,"No",1,9,5,4,8,"8",0
"EMP0044","D05","R16","E2","1178156.00",4,"8 years 10 days","No",NULL,NULL,"Yes",1,8,3,2,5,"8",0
"EMP0045","D07","R18","E2","666872.00",5,"1 year 3 mons 10 days","No",NULL,NULL,"No",1,10,4,4,5,"1",0
"EMP0046","D01","R03","E3","2039998.00",2,"8 years 8 mons 17 days","No",NULL,NULL,"No",2,10,3,3,10,"8",0
"EMP0047","D02","R11","M1","2020584.00",3,"2 years 8 mons 19 days","No",NULL,NULL,"No",3,24,3,3,16,"2",0
"EMP0048","D01","R01","E1","434463.00",3,"2 years 4 mons 10 days","Yes","2023-04-16","Career Growth","No",3,27,4,4,5,"2",1
"EMP0049","D03","R12","E1","603717.00",5,"7 years 9 days","No",NULL,NULL,"No",2,22,4,5,9,"7",0
"EMP0050","D01","R03","E3","1562797.00",4,"4 years 6 mons 8 days","Yes","2022-12-09","Career Growth","No",1,6,4,3,4,"4",1
"EMP0051","D08","R03","E3","1292165.00",4,"4 mons","No",NULL,NULL,"No",2,18,5,5,10,"0",0
"EMP0052","D09","R09","E1","538617.00",4,"6 mons 17 days","No",NULL,NULL,"No",4,28,3,2,4,"0",0
"EMP0053","D07","R18","E2","609170.00",4,"4 years 1 mon 26 days","No",NULL,NULL,"No",2,20,1,1,6,"4",0
"EMP0054","D03","R12","E1","443904.00",3,"10 mons 1 day","No",NULL,NULL,"No",3,15,3,2,9,"0",0
"EMP0055","D02","R10","E2","1076620.00",3,"9 years 3 mons 9 days","No",NULL,NULL,"No",3,30,2,1,6,"9",0
"EMP0056","D09","R09","E1","571292.00",4,"8 years 3 days","No",NULL,NULL,"No",3,33,5,5,14,"8",0
"EMP0057","D06","R06","E2","1014256.00",4,"4 years 5 mons 22 days","No",NULL,NULL,"No",2,10,4,3,0,"4",0
"EMP0058","D02","R09","E1","334453.00",4,"3 years 3 mons 15 days","No",NULL,NULL,"Yes",2,16,2,2,10,"3",0
"EMP0059","D01","R01","E1","477017.00",4,"3 years 5 mons 11 days","Yes","2022-02-16","Compensation","No",0,0,4,4,17,"3",1
"EMP0060","D08","R20","E4","2851440.00",2,"4 years 7 mons 20 days","No",NULL,NULL,"No",1,7,2,2,12,"4",0
"EMP0061","D02","R10","E2","903800.00",5,"11 mons 16 days","No",NULL,NULL,"No",1,6,3,3,3,"0",0
"EMP0062","D03","R12","E1","465909.00",4,"9 years 5 mons 29 days","No",NULL,NULL,"No",2,16,3,4,3,"9",0
"EMP0063","D08","R03","E3","1129194.00",3,"1 year 18 days","No",NULL,NULL,"No",3,15,4,4,17,"1",0
"EMP0064","D10","R19","E4","2573620.00",1,"1 year 2 mons 11 days","No",NULL,NULL,"No",2,18,4,5,7,"1",0
"EMP0065","D04","R14","E1","600433.00",4,"6 years 5 mons 17 days","No",NULL,NULL,"No",2,16,5,5,9,"6",0
"EMP0066","D06","R17","E1","374578.00",5,"11 mons 24 days","No",NULL,NULL,"No",2,14,4,4,16,"0",0
"EMP0067","D10","R06","E2","1091759.00",3,"6 years 7 mons 10 days","No",NULL,NULL,"No",2,10,5,5,19,"6",0
"EMP0068","D07","R18","E2","688241.00",5,"1 year 10 mons 30 days","No",NULL,NULL,"No",3,18,4,3,6,"1",0
"EMP0069","D07","R18","E2","668772.00",5,"5 years 7 mons 12 days","No",NULL,NULL,"No",0,0,5,5,17,"5",0
"EMP0070","D03","R12","E1","414008.00",4,"11 mons 9 days","No",NULL,NULL,"No",3,18,4,4,11,"0",0
"EMP0071","D09","R17","E1","552735.00",5,"1 year 8 mons 12 days","Yes","2023-06-18","Career Growth","No",4,32,1,1,9,"1",1
"EMP0072","D01","R01","E1","590654.00",4,"1 year 7 mons 5 days","Yes","2024-02-20","Compensation","Yes",1,7,4,3,12,"1",1
"EMP0073","D01","R02","E2","684277.00",3,"3 mons 6 days","No",NULL,NULL,"No",2,22,5,5,16,"0",0
"EMP0074","D07","R02","E2","981425.00",4,"1 year 8 mons 26 days","No",NULL,NULL,"No",4,24,2,2,5,"1",0
"EMP0075","D07","R18","E2","656331.00",4,"4 years 4 mons 2 days","No",NULL,NULL,"No",4,32,4,4,7,"4",0
"EMP0076","D10","R03","E3","1761961.00",4,"7 years 6 mons 1 day","No",NULL,NULL,"Yes",1,7,4,4,7,"7",0
"EMP0077","D06","R17","E1","635413.00",3,"9 years 1 mon 8 days","No",NULL,NULL,"No",2,22,5,5,14,"9",0
"EMP0078","D03","R13","E3","1434764.00",4,"4 years 11 mons 8 days","No",NULL,NULL,"No",1,5,5,5,10,"4",0
"EMP0079","D09","R10","E2","663079.00",4,"6 years 6 mons 16 days","No",NULL,NULL,"No",3,15,3,4,17,"6",0
"EMP0080","D10","R07","E3","1101146.00",3,"11 mons 26 days","No",NULL,NULL,"No",2,16,4,4,18,"0",0
"EMP0081","D08","R20","E4","2345575.00",2,"6 years 4 mons 7 days","No",NULL,NULL,"No",1,6,4,3,11,"6",0
"EMP0082","D10","R07","E3","1737185.00",4,"6 years 2 mons 3 days","No",NULL,NULL,"No",1,5,2,2,15,"6",0
"EMP0083","D02","R09","E1","535717.00",5,"6 years 5 mons 17 days","No",NULL,NULL,"No",2,20,2,2,11,"6",0
"EMP0084","D04","R14","E1","447036.00",4,"4 years 10 mons 23 days","Yes","2022-08-24","Relocation","No",4,44,2,2,9,"4",1
"EMP0085","D09","R09","E1","487608.00",5,"6 years 11 mons 1 day","No",NULL,NULL,"No",2,16,4,5,11,"6",0
"EMP0086","D08","R06","E2","780723.00",3,"4 years 2 mons 27 days","No",NULL,NULL,"No",0,0,2,2,10,"4",0
"EMP0087","D06","R17","E1","406728.00",4,"6 mons 17 days","No",NULL,NULL,"No",4,24,1,1,9,"0",0
"EMP0088","D01","R02","E2","1089124.00",3,"9 years 2 mons 19 days","No",NULL,NULL,"No",3,33,2,2,3,"9",0
"EMP0089","D08","R07","E3","1704984.00",4,"4 years 5 mons 19 days","No",NULL,NULL,"No",1,7,1,1,3,"4",0
"EMP0090","D02","R11","M1","2711624.00",5,"9 mons 23 days","No",NULL,NULL,"No",1,6,4,5,3,"0",0
"EMP0091","D09","R10","E2","739631.00",3,"4 years 7 mons 9 days","No",NULL,NULL,"No",0,0,4,5,5,"4",0
"EMP0092","D08","R20","E4","1918980.00",3,"9 years 4 mons 20 days","No",NULL,NULL,"No",2,20,3,4,7,"9",0
"EMP0093","D06","R17","E1","592588.00",4,"4 years 2 mons 10 days","No",NULL,NULL,"No",1,6,3,4,0,"4",0
"EMP0094","D01","R01","E1","436407.00",1,"4 years 24 days","No",NULL,NULL,"No",1,8,3,3,15,"4",0
"EMP0095","D01","R03","E3","1592305.00",4,"1 year 3 mons 22 days","No",NULL,NULL,"No",3,33,4,4,16,"1",0
"EMP0096","D09","R09","E1","353362.00",4,"6 years 10 mons 13 days","No",NULL,NULL,"No",1,9,3,3,11,"6",0
"EMP0097","D01","R02","E2","1186937.00",4,"9 years 1 day","Yes","2019-04-11","Career Growth","Yes",2,16,5,5,0,"9",1
"EMP0098","D01","R04","E4","2901641.00",4,"7 years 7 mons 9 days","No",NULL,NULL,"No",1,5,3,3,10,"7",0
"EMP0099","D10","R19","E4","2667482.00",2,"7 years 11 mons 1 day","No",NULL,NULL,"No",1,6,4,4,16,"7",0
"EMP0100","D09","R10","E2","706879.00",3,"4 years 8 mons 22 days","No",NULL,NULL,"No",2,16,5,5,13,"4",0
"EMP0101","D09","R17","E1","589400.00",4,"1 year 2 mons 15 days","No",NULL,NULL,"No",1,5,3,3,11,"1",0
"EMP0102","D07","R18","E2","775804.00",3,"6 years 20 days","No",NULL,NULL,"No",1,11,2,2,11,"6",0
"EMP0103","D01","R01","E1","548199.00",1,"1 year 1 mon 28 days","No",NULL,NULL,"No",2,10,5,5,14,"1",0
"EMP0104","D03","R13","E3","1584532.00",1,"4 years 2 mons 17 days","No",NULL,NULL,"No",0,0,4,4,11,"4",0
"EMP0105","D06","R17","E1","451730.00",4,"4 years 8 mons 24 days","No",NULL,NULL,"Yes",0,0,3,3,6,"4",0
"EMP0106","D05","R07","E3","1541650.00",4,"11 mons 30 days","No",NULL,NULL,"No",1,5,4,4,0,"0",0
"EMP0107","D01","R02","E2","1189619.00",5,"9 years 2 mons 15 days","No",NULL,NULL,"Yes",2,22,1,1,17,"9",0
"EMP0108","D05","R16","E2","1134610.00",4,"3 years 5 mons 24 days","No",NULL,NULL,"No",5,40,3,3,6,"3",0
"EMP0109","D01","R05","M1","4304010.00",4,"4 years 6 mons 6 days","No",NULL,NULL,"No",1,9,3,3,14,"4",0
"EMP0110","D06","R06","E2","772108.00",1,"1 year 6 mons 23 days","No",NULL,NULL,"No",1,11,4,3,14,"1",0
"EMP0111","D10","R19","E4","2809094.00",5,"5 years 4 mons 13 days","No",NULL,NULL,"No",0,0,2,1,9,"5",0
"EMP0112","D02","R10","E2","810143.00",4,"3 years 6 mons 8 days","Yes","2021-08-22","Better Opportunity","No",4,40,4,4,10,"3",1
"EMP0113","D03","R12","E1","660610.00",3,"5 years 8 mons 29 days","No",NULL,NULL,"No",1,6,4,4,2,"5",0
"EMP0114","D07","R18","E2","687134.00",5,"6 years 2 mons 23 days","No",NULL,NULL,"No",2,12,3,3,12,"6",0
"EMP0115","D02","R09","E1","478484.00",3,"6 years 4 mons 11 days","No",NULL,NULL,"No",1,8,3,3,10,"6",0
"EMP0116","D03","R13","E3","1510882.00",3,"3 years 9 mons 1 day","No",NULL,NULL,"No",2,18,1,1,0,"3",0
"EMP0117","D05","R16","E2","988804.00",5,"4 years 11 mons 26 days","No",NULL,NULL,"No",3,33,4,4,14,"4",0
