"role_id","role_name","band","base_min","base_max"
"R01","Junior Software Engineer","E1","350000.00","600000.00"
"R02","Software Engineer","E2","650000.00","1050000.00"
"R03","Senior Software Engineer","E3","1100000.00","1800000.00"
"R04","Lead Engineer","E4","1700000.00","2600000.00"
"R05","Engineering Manager","M1","2500000.00","4000000.00"
"R06","Data Analyst","E2","600000.00","1000000.00"
"R07","Senior Data Analyst","E3","1050000.00","1650000.00"
"R08","Data Scientist","E3","1200000.00","2000000.00"
"R09","Sales Executive","E1","300000.00","550000.00"
"R10","Senior Sales Executive","E2","550000.00","900000.00"
"R11","Sales Manager","M1","1500000.00","2800000.00"
"R12","Marketing Associate","E1","350000.00","600000.00"
"R13","Marketing Manager","E3","1000000.00","1700000.00"
"R14","HR Executive","E1","320000.00","550000.00"
"R15","HR Manager","M1","1200000.00","2200000.00"
"R16","Finance Analyst","E2","650000.00","1100000.00"
"R17","Operations Executive","E1","300000.00","550000.00"
"R18","IT Support Engineer","E2","500000.00","850000.00"
"R19","Product Manager","E4","1800000.00","2700000.00"
"R20","R&D Scientist","E4","1600000.00","2500000.00"
